method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
HFDC,1.2880529879718152,2.74259991279643,10.482444203692303,0.010175302045570251,5.6387642627946876e-05
HFDC,1.3194689145077134,2.934450343064733,10.325873428600406,0.010913245803463154,5.6875099370133284e-05
HFDC,1.3508848410436112,3.274296948187771,13.24721389956006,0.010354576015348697,5.7785584022590295e-05
HFDC,1.3823007675795091,3.2394581603234287,13.818251055910807,0.009104415700095478,6.682833747209997e-05
HFDC,1.4137166941154071,8.860635866669107,591.182195872368,0.21768909313470974,0.05267395331806171
HFDC,1.4451326206513049,8.819287948590997,242.68844650635936,0.30511709619745325,0.039094992211997893
HFDC,1.476548547187203,8.0,0.0,0.3533105136152833,0.02252752609420541
HFDC,1.5079644737231008,7.999595092407578,0.00018177351343014506,0.33245549972340543,0.02437555702322716
HFDC,1.5393804002589988,8.0,0.0,0.40407750571862894,0.012752566552843899
HFDC,1.5707963267948968,8.0,0.0,0.38525580309557517,0.020898372454077423
