method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
Feedforward,0.9110618695410401,2.7459564049348844,13.548074602794122,0.005554407752615055,2.0234550020028983e-05
Feedforward,0.9424777960769379,3.018413786106861,16.197578334299553,0.005758115000090364,2.2551929651632386e-05
Feedforward,0.9738937226128359,3.1514168094842296,18.053522382547374,0.005926410874502343,2.487870014600982e-05
Feedforward,1.0053096491487339,3.440022403422049,21.2536865211297,0.006142253896453232,2.695918166606382e-05
Feedforward,1.0367255756846319,3.591737075578319,23.603044446124056,0.006315237402233372,2.8742209260197715e-05
Feedforward,1.0681415022205298,3.932425591269161,27.909553054967265,0.006559327610437755,3.0348287658976274e-05
Feedforward,1.0995574287564276,4.122496223467247,31.136088818681305,0.006792005999950816,3.193587034109139e-05
Feedforward,1.1309733552923256,4.477548316146266,36.26663096862871,0.0071926838614751005,3.505883640644322e-05
Feedforward,1.1623892818282238,4.636109742360551,39.34342080628754,0.007818517362396143,4.635893649320737e-05
Feedforward,1.1938052083641215,4.971433562452202,44.42941290621438,0.008486229875692902,6.587684700595155e-05
Feedforward,1.2252211349000195,8.121625981566856,16.021040667645998,0.3686310058783584,0.02077500909066406
Feedforward,1.2566370614359172,8.0,0.0,0.33837320117089664,0.010364667414715712
Feedforward,1.2880529879718152,8.0,0.0,0.31128020598385925,0.007505840014651213
Feedforward,1.3194689145077134,1726.532287638977,2197890.618708304,0.23820371945912489,0.04100870240082448
Feedforward,1.3508848410436112,6.298828228807472,45.281728048895765,0.10164754835348923,0.02365737220412174
Feedforward,1.3823007675795091,8.0,0.0,0.3966527947861085,0.024723109343712593
Feedforward,1.4137166941154071,8.030882281976561,2.742679718129484,0.3977554090142752,0.020228318075912514
Feedforward,1.4451326206513049,8.0,0.0,0.3832693037289832,0.020157661239168245
Feedforward,1.476548547187203,7.999882462805103,7.038151018254548e-05,0.36142379095194843,0.018732756628275428
Feedforward,1.5079644737231008,8.0,0.0,0.27694548372837413,0.0207947505981973
Feedforward,1.5393804002589988,7.999486729878755,0.04342866921025672,0.4266792148053909,0.03207092119588312
Feedforward,1.5707963267948968,8.065698980447754,10.554079582514209,0.493978395436021,0.0559411336942195
Feedforward + PI,0.031415926535897934,0.002580003255479309,2.5451983584267718e-05,0.003534250814820847,1.0727017271579067e-07
Feedforward + PI,0.06283185307179587,0.006071922215954517,6.91271881950675e-05,0.0035310357648284285,9.527259615488119e-08
Feedforward + PI,0.0942477796076938,0.010326073932235313,0.00019514131519232593,0.0035331968434084583,8.893975622435309e-08
Feedforward + PI,0.12566370614359174,0.020494952244997613,0.0006727533635278777,0.003542048704232592,9.036117403838344e-08
Feedforward + PI,0.15707963267948966,0.030751774851359368,0.0014837857372180232,0.003556656448690653,1.0602062879667519e-07
Feedforward + PI,0.1884955592153876,0.04734460747252969,0.003343838528639125,0.003577821131497861,1.4394276071806028e-07
Feedforward + PI,0.21991148575128552,0.06192869544495744,0.005646451783213853,0.0036032008649729617,2.114603751670027e-07
Feedforward + PI,0.25132741228718347,0.08344820087073732,0.010089864701043377,0.0036353858377024925,3.1430041820674776e-07
Feedforward + PI,0.2827433388230814,0.10047203383719275,0.014763759630105493,0.0036693537889273915,4.563733841289977e-07
Feedforward + PI,0.3141592653589793,0.12548433488451374,0.023055741732409152,0.0037113443801607146,6.430030549323798e-07
Feedforward + PI,0.3455751918948773,0.14361573679980563,0.030892832703071003,0.0037526548644492494,8.769552022514363e-07
Feedforward + PI,0.3769911184307752,0.17274148214533572,0.04472884471387576,0.003803979034019851,1.1639597139746112e-06
Feedforward + PI,0.40840704496667324,0.19384467199581581,0.05752456669516149,0.0038520839658410617,1.5045929802124546e-06
Feedforward + PI,0.43982297150257105,0.22623789829553761,0.07874023026979449,0.003912943701533249,1.9078231541455437e-06
Feedforward + PI,0.47123889803846897,0.24529252950018932,0.09511231208579969,0.003968264222325981,2.372327359364604e-06
Feedforward + PI,0.5026548245743669,0.27930025175216205,0.12354627611568865,0.004039703448429708,2.9108321999483416e-06
Feedforward + PI,0.5340707511102649,0.299454933149277,0.14595012647868402,0.004103338843349454,3.5190896115756576e-06
Feedforward + PI,0.5654866776461628,0.33965414721504583,0.18898021223828854,0.004186900331128783,4.213610718634102e-06
